Time	RF	BF	VM	EMG S	F-E
7.809	0.0262	0.0352	0.0765	-0.0015	-6.7
7.81	0.0217	0.0382	0.069	-0.0158	-6.6
7.811	0.0187	0.0232	0.0607	-0.0405	-6.8
7.812	0.024	-0.0293	0.0532	-0.0593	-6.8
7.813	0.0307	-0.0825	0.054	-0.0555	-6.8
7.814	0.033	-0.114	0.0577	-0.0368	-7.1
7.815	0.0375	-0.1343	0.054	-0.015	-7.2
7.816	0.0367	-0.1215	0.042	0.0067	-7.2
7.817	0.0345	-0.0773	0.033	0.0157	-7.3
7.818	0.036	-0.0503	0.0292	0.0195	-7.3
7.819	0.042	-0.012	0.027	0.024	-7.5
7.82	0.0442	0.0067	0.018	0.0255	-7.7
7.821	0.0352	0.0127	0.0045	0.0262	-7.5
7.822	0.03	0.0292	-0.0091	0.0202	-7.7
7.823	0.0307	0.03	-0.0233	0.015	-7.9
7.824	0.0367	0.0345	-0.027	0.0052	-7.9
7.825	0.0435	0.0247	-0.0165	-0.0046	-7.9
7.826	0.0465	0.0195	-0.0083	-0.0188	-7.9
7.827	0.0472	0.0165	0.003	-0.0285	-8
7.828	0.042	0.0105	0.0202	-0.0308	-8.1
7.829	0.0375	0.009	0.0405	-0.0361	-8.2
7.83	0.0412	0.0195	0.06	-0.0323	-8.1
7.831	0.0465	0.0247	0.0675	-0.033	-8.4
7.832	0.039	0.0052	0.0562	-0.0293	-8.2
7.833	0.0187	-0.0143	0.0405	-0.0053	-8.5
7.834	0.0082	-0.0233	0.0202	0.0127	-8.5
7.835	0.0127	-0.0158	-0.0083	0.0217	-8.5
7.836	0.0142	0.0007	-0.0323	0.03	-8.8
7.837	0.009	0.0217	-0.0593	0.0382	-8.5
7.838	0.0127	0.018	-0.09	0.0315	-8.7
7.839	0.0195	0.012	-0.1155	0.012	-8.8
7.84	0.0285	0.018	-0.1313	-0.0046	-8.8
7.841	0.033	0.0127	-0.1455	-0.0015	-9
7.842	0.0375	0	-0.1583	0.0157	-8.9
7.843	0.042	-0.0105	-0.1628	0.0277	-8.9
7.844	0.0442	0.0097	-0.1598	0.0277	-8.9
7.845	0.0435	0.0157	-0.1478	0.0165	-9
7.846	0.039	0.0247	-0.1335	0.0165	-9
7.847	0.0307	0.0315	-0.1193	0.0195	-9.2
7.848	0.018	0.0067	-0.1103	0.0105	-9
7.849	0.0082	0.0007	-0.1028	-0.0068	-9.1
7.85	-0.0015	-0.0218	-0.093	-0.0098	-9.2
7.851	-0.0091	-0.0128	-0.0818	0.0127	-9
7.852	-0.0203	0.0195	-0.0735	0.0105	-9.1
7.853	-0.0353	0.015	-0.0683	-0.0015	-8.7
7.854	-0.045	0.0232	-0.06	0.0172	-9
7.855	-0.054	0.0232	-0.0443	0.0315	-8.6
7.856	-0.0578	0.0127	-0.03	0.0195	-8.6
7.857	-0.0593	0.0165	-0.0165	-0.0098	-8.7
7.858	-0.0615	0.0202	-0.0098	-0.0346	-8.6
7.859	-0.0608	0.03	-0.003	-0.0518	-8.4
7.86	-0.0555	0.0465	0.003	-0.0465	-8.4
7.861	-0.0518	0.0367	0.0052	-0.039	-8.2
7.862	-0.0495	-0.012	0.0097	-0.0383	-8
7.863	-0.0443	-0.0361	0.0105	-0.0091	-8.1
7.864	-0.0383	-0.0203	0.018	0.0097	-7.8
7.865	-0.0346	0.0127	0.0262	0.027	-8
7.866	-0.033	0.042	0.027	0.0292	-7.7
7.867	-0.0353	0.0105	0.0225	0.0015	-7.9
7.868	-0.0323	-0.0548	0.0157	-0.024	-7.8
7.869	-0.0308	-0.0915	0.0142	-0.0361	-7.7
7.87	-0.0278	-0.0683	0.0142	-0.03	-7.9
7.871	-0.027	-0.0818	0.0165	-0.0308	-7.6
7.872	-0.0315	-0.1448	0.018	-0.027	-7.7
7.873	-0.0346	-0.1178	0.021	0.0142	-7.7
7.874	-0.0383	-0.0458	0.0247	0.0495	-7.6
7.875	-0.03	0.0277	0.021	0.0577	-7.7
7.876	-0.0113	0.0682	0.0195	0.0525	-7.7
7.877	0.003	0.0742	0.0217	0.0472	-7.7
7.878	0.0082	0.0802	0.0217	0.054	-7.7
7.879	0.0022	0.0652	0.024	0.0562	-7.8
7.88	0.003	0.0652	0.0255	0.0615	-7.5
7.881	0.0022	0.0487	0.0232	0.0577	-7.8
7.882	0.0015	0.0367	0.0202	0.0405	-7.7
7.883	0.0067	0.018	0.012	0.018	-7.8
7.884	0.0232	-0.024	0.0045	-0.0038	-7.9
7.885	0.039	-0.015	0.0052	-0.0068	-7.7
7.886	0.039	-0.0046	0.0015	-0.0263	-7.9
7.887	0.0307	-0.0346	-0.0068	-0.0735	-7.9
7.888	0.0195	-0.0721	-0.0038	-0.1095	-8
7.889	0.0127	-0.1028	0.0045	-0.1035	-8
7.89	0.0157	-0.0878	0.009	-0.0623	-8.1
7.891	0.0322	-0.078	0.0015	-0.027	-8.1
7.892	0.0405	-0.0765	-0.006	-0.0135	-8.2
7.893	0.0382	-0.0278	-0.0038	-0.012	-8.2
7.894	0.042	-0.0233	-0.0008	-0.0091	-8.3
7.895	0.039	-0.0293	-0.003	-0.03	-8.6
7.896	0.0307	-0.012	-0.0105	-0.0593	-8.6
7.897	0.0195	0.0195	-0.0128	-0.0233	-8.9
7.898	0.0052	0.0667	-0.0083	0.0262	-8.8
7.899	-0.0143	0.054	-0.0023	0.0352	-9
7.9	-0.0256	0.0352	0.0067	0.0157	-9.2
7.901	-0.0181	0.018	0.0135	-0.0218	-9.3
7.902	-0.0068	0.0375	0.0157	-0.0181	-9.5
7.903	0.003	0.084	0.0105	0.0105	-9.6
7.904	0.0082	0.0975	0.009	0.021	-9.9
7.905	0.0097	0.1087	0.0082	0.027	-10
7.906	0.0127	0.1215	0.0097	0.0577	-10.3
7.907	0.0067	0.1402	0.0142	0.0862	-10.6
7.908	-0.0015	0.132	0.0112	0.0742	-10.7
7.909	-0.0105	0.093	0.0105	0.048	-10.8
7.91	-0.0165	0.009	0.0112	0.0142	-11.1
7.911	-0.0218	-0.0743	0.0165	-0.0135	-11.3
7.912	-0.0256	-0.0691	0.024	-0.0278	-11.5
7.913	-0.027	-0.0315	0.0292	-0.0293	-12
7.914	-0.0233	-0.0458	0.0307	-0.0308	-12.1
7.915	-0.0158	-0.1388	0.024	-0.057	-12.5
7.916	-0.0143	-0.2295	0.024	-0.0691	-12.4
7.917	-0.0165	-0.2138	0.0315	-0.0503	-12.6
7.918	-0.0195	-0.1193	0.0375	-0.0195	-13.1
7.919	-0.0218	-0.0578	0.0442	0.0037	-13.1
7.92	-0.0181	-0.0473	0.0517	0.0082	-13.5
7.921	-0.0075	-0.0233	0.0532	0.0015	-13.5
7.922	-0.0083	-0.0053	0.0412	-0.012	-13.8
7.923	-0.0113	-0.0008	0.039	-0.0128	-13.9
7.924	-0.0091	0.0217	0.048	0	-14.2
7.925	-0.0083	0.0352	0.0352	0.018	-14.2
7.926	-0.0083	0.0412	0.018	0.0315	-14.4
7.927	-0.0113	0.036	0.0142	0.0225	-14.4
7.928	-0.0143	0.0307	0.0172	0.0202	-14.7
7.929	-0.0068	0.0315	0.012	0.0187	-14.7
7.93	0	0.0367	-0.0015	0.0195	-14.9
7.931	-0.0015	0.0465	-0.0053	0.0472	-15
7.932	-0.0046	0.0577	-0.012	0.0795	-15.1
7.933	-0.0091	0.078	-0.0188	0.0825	-15.3
7.934	-0.0105	0.0892	-0.0218	0.0585	-15.1
7.935	-0.0128	0.0952	-0.0263	0.0472	-15.4
7.936	-0.0181	0.0975	-0.027	0.0285	-15.3
7.937	-0.0181	0.0885	-0.0181	-0.012	-15.6
7.938	-0.0105	0.0675	-0.0068	-0.0165	-15.3
7.939	-0.0023	0.042	0.0045	0.0105	-15.6
7.94	-0.0015	0.0195	0.0165	0.0127	-15.3
7.941	-0.003	-0.0203	0.021	0.0067	-15.4
7.942	0.0007	-0.0863	0.012	-0.0128	-15.3
7.943	0.0075	-0.0945	-0.0091	-0.0218	-15.2
7.944	0.0097	-0.0533	-0.0195	-0.0218	-15.4
7.945	0.0067	-0.048	-0.0225	-0.0413	-15.4
7.946	0.0067	-0.0143	-0.027	-0.0233	-15.1
7.947	0.0052	0.0285	-0.0256	-0.024	-15.3
7.948	0.0022	0.0255	-0.0256	-0.0511	-15
7.949	0.0007	0.0112	-0.0315	-0.0405	-15.2
7.95	0.012	0.0037	-0.0368	-0.039	-14.8
7.951	0.024	-0.027	-0.039	-0.027	-14.9
7.952	0.0217	-0.0871	-0.042	-0.0075	-14.8
7.953	0.0217	-0.1006	-0.033	-0.0113	-14.7
7.954	0.0165	-0.0863	-0.0308	-0.0128	-14.8
7.955	0.0105	-0.0195	-0.0465	-0.0046	-14.7
7.956	0.012	0.021	-0.0511	-0.0053	-14.5
7.957	0.012	-0.015	-0.0428	-0.021	-14.5
7.958	0.009	-0.0203	-0.0308	-0.0068	-14.5
7.959	0.003	0.012	-0.027	0.0352	-14.2
7.96	-0.0023	0.0667	-0.033	0.0615	-14
7.961	-0.0068	0.093	-0.0398	0.0517	-14.2
7.962	-0.0165	0.0675	-0.0443	0.0172	-14.1
7.963	-0.0256	0.0352	-0.0465	-0.0165	-14.2
7.964	-0.027	-0.045	-0.0443	-0.0555	-14.1
7.965	-0.0098	-0.156	-0.0413	-0.0915	-14.1
7.966	0.0105	-0.18	-0.0338	-0.1006	-14
7.967	0.0165	-0.1785	-0.0285	-0.0691	-13.9
7.968	0.0232	-0.1103	-0.0278	-0.024	-14.1
7.969	0.033	-0.033	-0.0181	0.009	-13.6
7.97	0.0397	-0.0046	-0.0053	0.0375	-13.9
7.971	0.0405	0.042	0.0082	0.045	-13.6
7.972	0.0487	0.0225	0.0142	0.0405	-13.7
7.973	0.0502	0.0345	0.0172	0.0382	-13.6
7.974	0.0442	0.0562	0.0217	0.024	-13.6
7.975	0.0345	0.0622	0.0202	0.015	-13.7
7.976	0.0307	0.0682	0.0232	0.0067	-13.5
7.977	0.0307	0.018	0.036	-0.0173	-13.7
7.978	0.0322	-0.0233	0.0652	-0.0293	-13.5
7.979	0.0405	-0.0443	0.093	-0.0158	-13.5
7.98	0.0315	-0.0368	0.0937	0.0037	-13.6
7.981	0.018	-0.0046	0.0847	0.0255	-13.4
7.982	0.0142	0.0322	0.078	0.0345	-13.6
7.983	0.0225	0.018	0.0802	0.024	-13.4
7.984	0.0277	0.009	0.0892	0.0157	-13.5
7.985	0.021	0.039	0.084	0.0127	-13.4
7.986	0.0052	0.033	0.0705	0.0195	-13.4
7.987	-0.0008	0.054	0.0615	0.0382	-13.2
7.988	0.003	0.0787	0.042	0.0435	-13.3
7.989	0.0045	0.075	0.0232	0.0375	-13.4
7.99	0.0105	0.075	0.0217	0.027	-13.3
7.991	0.0045	0.0652	0.0195	0.0082	-13.3
7.992	-0.012	0.045	0.0135	-0.0105	-13.3
7.993	-0.027	0.0075	0.0082	-0.0135	-13.2
7.994	-0.039	-0.0285	0.0045	-0.0053	-13.1
7.995	-0.057	0.0007	-0.006	0.012	-13.1
7.996	-0.0713	0.012	-0.0203	0.033	-13.3
7.997	-0.0691	-0.0181	-0.0293	0.045	-13.1
7.998	-0.0593	0.024	-0.0346	0.0525	-13.1
7.999	-0.0503	0.0375	-0.0323	0.0405	-13.1
8	-0.0413	-0.0008	-0.0218	-0.0105	-13
8.001	-0.0308	0.0067	-0.0165	-0.0645	-13.1
8.002	-0.0203	-0.0218	-0.0188	-0.0953	-12.9
8.003	-0.0188	-0.0878	-0.0256	-0.0968	-13.1
8.004	-0.0285	-0.0668	-0.0353	-0.0668	-13.1
8.005	-0.0353	-0.0383	-0.0465	-0.0346	-13
8.006	-0.0293	-0.0315	-0.0585	-0.0135	-13.1
8.007	-0.0158	-0.0195	-0.0608	-0.0008	-12.9
8.008	-0.0083	-0.0645	-0.0653	0.0052	-13
8.009	-0.0083	-0.0691	-0.0743	0.0105	-12.9
8.01	-0.0053	-0.0248	-0.0691	0.018	-12.9
8.011	0.0007	0.0097	-0.0653	0.0277	-13
8.012	0.0217	0.0255	-0.0615	0.0255	-12.9
8.013	0.0457	0.0007	-0.0525	0.0127	-13
8.014	0.0525	-0.0105	-0.0398	-0.0173	-12.8
8.015	0.048	-0.0525	-0.0278	-0.0398	-13.1
8.016	0.0337	-0.0495	-0.0143	-0.0233	-12.7
8.017	0.0157	-0.003	-0.0038	-0.0135	-13
8.018	0.0037	-0.0008	-0.0008	-0.0105	-12.6
8.019	-0.0046	0.0127	0.003	0.0082	-13
8.02	-0.0046	0	-0.0091	0.0037	-12.9
8.021	-0.0105	-0.0046	-0.0233	0.006	-12.9
8.022	-0.0195	0.0157	-0.0195	0.021	-12.9
8.023	-0.0203	0.0345	-0.0105	0.0337	-12.8
8.024	-0.0158	0.039	-0.0008	0.0382	-12.8
8.025	-0.0158	0.033	0.006	0.0232	-12.9
8.026	-0.0158	0.024	0.0112	-0.0023	-12.8
8.027	-0.0263	0.0105	0.0157	-0.021	-12.9
8.028	-0.033	0.009	0.0217	-0.0165	-12.8
8.029	-0.021	0.009	0.0292	-0.0015	-13.1
8.03	-0.0158	0.0165	0.0277	0.0015	-12.8
8.031	-0.0173	0.0165	0.024	0.006	-12.9
8.032	-0.0075	0.0195	0.0187	0.0105	-12.8
8.033	0.0015	0.0232	0.024	0.009	-12.9
8.034	0.0037	0.0157	0.027	0.0082	-13.1
8.035	0.003	0.0112	0.0225	0.0075	-12.9
8.036	0.003	0.0075	0.0157	0.0067	-12.9
8.037	-0.0015	0.0045	0.012	0.0015	-12.9
8.038	0.009	-0.0015	0.0135	-0.003	-13
8.039	0.0367	-0.003	0.012	-0.006	-13
8.04	0.0585	0.003	0.0105	-0.003	-12.8
8.041	0.066	0.003	0.0037	0.0045	-13
8.042	0.0742	-0.0068	-0.003	0.0067	-12.9
8.043	0.0997	-0.0113	-0.0046	0.0037	-12.9
8.044	0.174	-0.0091	-0.0068	0.0037	-12.9
8.045	0.3465	-0.015	-0.0083	0.0015	-13
8.046	0.4725	-0.0173	-0.0105	0.0007	-13.1
8.047	0.3952	-0.0143	-0.0105	0.0022	-12.8
8.048	0.3157	-0.012	-0.0075	0.0082	-13.1
8.049	0.246	-0.0015	-0.0083	0.0172	-12.7
8.05	0.1485	0.0067	-0.006	0.018	-12.9
8.051	0.09	0.0195	-0.0053	0.0097	-12.6
8.052	0.0105	0.0277	-0.0083	-0.0046	-12.7
8.053	-0.0256	0.003	-0.0053	-0.0263	-12.6
8.054	-0.063	-0.0008	0.0022	-0.0346	-12.4
8.055	-0.09	0.0067	0.006	-0.0218	-12.5
8.056	-0.117	-0.003	0.006	-0.0053	-12.4
8.057	-0.1373	0.0007	0.0075	0.0037	-12.5
8.058	-0.1365	-0.003	0.0067	0.0075	-12.3
8.059	-0.1403	-0.003	0.0045	0.0015	-12.2
8.06	-0.1215	-0.0053	0.0045	-0.0038	-12.3
8.061	-0.1441	-0.0083	0.0037	-0.0046	-12
8.062	-0.159	-0.0083	0.0045	-0.0053	-12
8.063	-0.1688	-0.0098	0.0052	-0.0053	-11.9
8.064	-0.177	-0.0068	0.0045	-0.012	-11.8
8.065	-0.1733	-0.0083	0.003	-0.012	-11.9
8.066	-0.1838	-0.0075	0.0045	-0.0008	-11.7
8.067	-0.1808	-0.0068	0.0082	0.0045	-11.6
8.068	-0.1756	-0.0008	0.012	0.009	-11.5
8.069	-0.1635	-0.0008	0.012	0.009	-11.3
8.07	-0.1463	-0.0046	0.0112	0.006	-11.4
8.071	-0.1035	-0.0046	0.0105	0.0037	-11.1
8.072	-0.033	-0.0068	0.0105	0.0015	-11.1
8.073	0.012	-0.0053	0.0112	0.0037	-10.8
8.074	0.024	-0.0046	0.0135	-0.0008	-10.9
8.075	0.0277	-0.0046	0.012	-0.0008	-10.6
8.076	0.018	-0.0038	0.0067	0.0037	-10.7
8.077	-0.003	0.0015	0.0067	0.0052	-10.5
8.078	-0.0195	0.0082	0.0082	0.0082	-10.4
8.079	-0.0308	0.0082	0.0052	0.006	-10.3
8.08	-0.0353	0.0045	0.0067	0.0067	-10.1
8.081	-0.0428	0.0015	0.0075	0.0037	-10.2
8.082	-0.0465	-0.0008	0.0015	0.003	-9.9
8.083	-0.0465	0.0007	0.0007	0.003	-10
8.084	-0.0405	0.0015	0.0105	0.003	-9.7
8.085	-0.0346	0.003	0.018	0.0037	-9.6
8.086	-0.0315	0.003	0.0105	0.0007	-9.6
8.087	-0.0278	-0.0008	0.0037	-0.0015	-9.4
8.088	-0.024	-0.0023	0.0045	-0.0053	-9.6
8.089	-0.0218	-0.003	0.0015	-0.0053	-9.3
8.09	-0.0308	-0.003	0.0045	-0.0046	-9.4
8.091	-0.0383	-0.0008	0.0067	-0.0015	-9.2
8.092	-0.0315	-0.0023	0.003	0.003	-9
8.093	-0.0143	-0.003	-0.003	0.0052	-9
8.094	-0.003	-0.0053	-0.0046	0.0045	-8.8
8.095	0.0007	-0.0053	-0.006	0.0045	-8.9
8.096	0.0067	-0.0008	-0.0091	0.0067	-8.7
8.097	0.009	0.0007	-0.0091	0.0067	-8.8
8.098	0.0105	0.0015	-0.0083	0.0052	-8.8
8.099	0.0112	0.0015	-0.0046	0.0022	-8.7
8.1	0.0465	0.0015	-0.0053	0.0007	-8.6
8.101	0.1477	0.0015	-0.006	0.0015	-8.5
8.102	0.1755	0.0015	-0.0038	0.0015	-8.4
8.103	0.1117	0.003	0.003	0.0007	-8.4
8.104	0.1027	0	0.003	0	-8.2
8.105	0.0817	-0.0008	-0.0038	-0.003	-8.3
8.106	0.066	-0.003	-0.006	-0.0015	-8.1
8.107	0.0442	-0.0046	-0.0091	-0.0023	-8.3
8.108	-0.0046	-0.0053	-0.0105	-0.006	-8.2
8.109	-0.0068	-0.0046	-0.015	-0.0046	-8.2
8.11	-0.0098	-0.0008	-0.0195	-0.0023	-8.2
8.111	-0.015	-0.0008	-0.0143	-0.0015	-8
8.112	-0.03	0.0015	-0.0091	0.0007	-8.2
8.113	-0.0361	0.0022	-0.0091	0.0007	-8
8.114	-0.0375	0.003	-0.0091	0.0015	-8.2
8.115	-0.0383	0.0045	-0.0053	0.003	-7.9
8.116	-0.0308	0.0015	-0.0075	0.0037	-7.9
8.117	-0.0315	0	-0.0105	0.0037	-8
8.118	-0.0315	-0.003	-0.0143	0.0015	-7.7
8.119	-0.0443	-0.0046	-0.0165	-0.0008	-8
8.12	-0.0503	-0.0053	-0.012	-0.0053	-7.7
8.121	-0.0458	-0.006	-0.0083	-0.0068	-7.9
8.122	-0.0346	-0.0038	-0.003	-0.0008	-7.7
8.123	-0.0315	-0.0038	-0.003	-0.0015	-7.7
8.124	-0.027	-0.003	-0.0023	-0.003	-7.8
8.125	-0.024	-0.0008	-0.0015	0.003	-7.7
8.126	-0.0188	0.0007	-0.0053	0.0007	-7.8
8.127	-0.0135	0	-0.0053	0.0015	-7.5
8.128	-0.0128	-0.0015	-0.0046	0.0007	-7.7
8.129	-0.012	-0.003	-0.0015	-0.0008	-7.5
8.13	-0.0165	-0.0023	0.0015	0	-7.7
8.131	-0.012	-0.0023	0.0007	-0.0008	-7.6
8.132	-0.003	0	0.0015	0	-7.6
8.133	0.003	-0.0008	0.0022	-0.0015	-7.6
8.134	0	-0.0038	0.0037	-0.003	-7.6
8.135	-0.015	-0.0046	0.0015	-0.0038	-7.5
8.136	-0.0195	-0.003	-0.0008	-0.0038	-7.4
8.137	-0.003	0.0007	-0.0053	-0.003	-7.3
8.138	0.0045	0.0007	-0.0015	0.003	-7.6
8.139	0.006	0	0.003	0.0127	-7.3
8.14	0.0075	0.003	0.0045	0.0232	-7.5
8.141	0.0037	0.003	0.0075	0.0322	-7.2
8.142	0.0075	0.003	0.0052	0.0367	-7.2
8.143	0.0105	0.0015	0.009	0.027	-7.2
8.144	0.015	-0.0015	0.0105	0.0045	-7.2
8.145	0.0135	-0.0053	0.012	-0.0203	-7.3
8.146	0.0097	-0.0053	0.012	-0.0323	-7.1
8.147	0.0112	-0.0091	0.009	-0.042	-7.2
8.148	0.0105	-0.0068	0.0082	-0.0375	-7.1
8.149	0.0067	0.003	0.006	-0.0128	-6.9
8.15	0.0045	0.0052	0.0067	-0.0023	-7
8.151	-0.003	0.006	0.0067	-0.0053	-6.8
8.152	-0.0083	0.0082	0.006	0.0015	-7
8.153	0	0.009	0.0052	0.0052	-6.7
8.154	0.0082	0.0127	0.0007	0.0045	-6.9
8.155	0.0082	0.0105	-0.003	0.0015	-6.6
8.156	0.0052	0.0007	-0.003	-0.0083	-6.7
8.157	0.0045	-0.0143	-0.0008	-0.0135	-6.8
8.158	0.0097	-0.0203	-0.0008	-0.0046	-6.6
8.159	0.0082	-0.0075	-0.0068	0.003	-6.7
8.16	-0.0046	-0.0008	-0.0135	0.0082	-6.6
8.161	-0.015	0.003	-0.0105	0.0157	-6.6
8.162	-0.0113	0.0097	-0.0105	0.0082	-6.6
8.163	0.0022	-0.003	-0.015	-0.0068	-6.5
8.164	0.0135	-0.0113	-0.0083	-0.0068	-6.5
8.165	0.021	0.0007	-0.0008	-0.0015	-6.4
8.166	0.0247	0.0127	-0.003	0.006	-6.3
8.167	0.024	0.021	0	0.0157	-6.5
8.168	0.0225	0.0277	-0.0015	0.0232	-6.3
8.169	0.0217	0.0307	-0.0053	0.0247	-6.4
8.17	0.0217	0.0307	-0.0083	0.024	-6
8.171	0.0217	0.0352	-0.006	0.0277	-6.1
8.172	0.0217	0.0292	0.0007	0.024	-6
8.173	0.0217	0.0157	-0.0008	0.003	-6.1
8.174	0.0142	0	-0.0023	-0.0203	-5.9
8.175	0.0097	-0.0361	-0.003	-0.024	-5.9
8.176	0.0075	-0.0825	-0.0075	-0.0346	-6.1
8.177	0.0037	-0.108	-0.0091	-0.0518	-5.8
8.178	0.0082	-0.0833	-0.0091	-0.0256	-5.9
8.179	0.0142	-0.0263	-0.0105	0.0067	-5.6
8.18	0.018	0.0075	-0.0105	0.0165	-5.8
8.181	0.0172	0.021	-0.0068	0.024	-5.6
8.182	0.0135	0.0217	-0.0068	0.009	-5.7
8.183	0.0075	0.0082	-0.006	-0.003	-5.5
8.184	-0.0015	0.003	-0.0023	-0.0023	-5.4
8.185	-0.0068	0.0015	-0.0008	-0.0015	-5.4
8.186	-0.0098	0.0195	0.0015	-0.0008	-5.3
8.187	-0.0068	0.0315	0.0045	-0.0015	-5.4
8.188	0.0045	0.0157	0.0045	0.003	-5.3
8.189	0.0172	0.009	0.0022	0.0015	-5.3
8.19	0.0307	0.0067	0.0015	-0.0008	-5.3
8.191	0.0532	0.0052	0.0015	0.0037	-5.1
8.192	0.0847	0.0097	0.0067	0.0082	-5.2
8.193	0.1057	0.0075	0.0112	0.0127	-4.9
8.194	0.1192	0.0075	0.0112	0.012	-5
8.195	0.1267	0.0067	0.0112	0.0052	-5
8.196	0.1312	0.0007	0.0105	-0.003	-5
8.197	0.1327	-0.0015	0.012	-0.0083	-4.9
8.198	0.1245	-0.003	0.0142	-0.0053	-5
8.199	0.1087	0	0.0157	-0.0008	-4.8
8.2	0.0892	0.003	0.0142	0.0007	-5
8.201	0.063	0.0037	0.0135	0.0037	-4.7
8.202	0.036	0.003	0.0157	0.0052	-5
8.203	0.003	0.0015	0.012	0.0037	-4.6
8.204	-0.0263	-0.0046	0.0127	0.0037	-4.8
8.205	-0.039	-0.0075	0.0172	0.003	-4.5
8.206	-0.0615	-0.0053	0.0127	0.0052	-4.7
8.207	-0.0856	-0.0008	0.012	0.009	-4.5
8.208	-0.0908	0.003	0.0105	0.0097	-4.5
8.209	-0.105	-0.003	0.0075	0.0067	-4.5
8.21	-0.1148	0.0007	0.009	0.009	-4.5
8.211	-0.1133	0.027	0.009	0.012	-4.6
8.212	-0.1118	0.039	0.0067	0.009	-4.5
8.213	-0.1043	0.0405	0.0067	0.0067	-4.5
8.214	-0.0968	0.0345	0.0097	0	-4.3
8.215	-0.0893	-0.0135	0.009	-0.0091	-4.3
8.216	-0.0833	-0.045	0.006	-0.0068	-4.5
8.217	-0.0765	-0.0053	0.0052	-0.0046	-4.2
8.218	-0.0698	0.0195	0.0022	-0.0113	-4.4
8.219	-0.0698	-0.027	0.003	-0.0225	-4.2
8.22	-0.0691	-0.0938	0.003	-0.027	-4.2
8.221	-0.0645	-0.099	-0.0008	-0.0195	-4.1
8.222	-0.0555	-0.0383	-0.0008	-0.0053	-4.1
8.223	-0.0488	-0.0068	-0.0008	0.003	-4.1
8.224	-0.0465	-0.003	-0.0046	0.0052	-4.1
8.225	-0.0413	0.0037	-0.0083	0.0067	-4.2
8.226	-0.0361	0.0015	-0.0083	0.006	-4
8.227	-0.0368	0.0022	-0.0113	0.0045	-4.1
8.228	-0.027	0.0007	-0.0143	0	-4
8.229	-0.015	0.0007	-0.0203	-0.003	-3.9
8.23	-0.0083	0.0015	-0.0233	-0.0008	-3.9
8.231	-0.0008	0.0022	-0.0181	-0.0008	-3.9
8.232	0.0015	0.0045	-0.0143	0.0007	-3.7
8.233	0.0075	0.0045	-0.0165	0.0007	-3.9
8.234	0.0075	0.0067	-0.0158	0.0007	-3.6
8.235	0.0052	0.009	-0.0143	0.0022	-3.9
8.236	-0.0053	0.0075	-0.0143	0.003	-3.4
8.237	-0.015	0.006	-0.015	0.0052	-3.7
8.238	-0.0135	0.0067	-0.0158	0.0052	-3.4
8.239	-0.0091	0.0075	-0.0143	0.006	-3.5
8.24	-0.0015	0.0052	-0.012	0.0052	-3.6
8.241	0.0037	0.0022	-0.0098	0.0045	-3.4
8.242	0.009	0.0007	-0.0098	0.0045	-3.5
8.243	0.0105	-0.0008	-0.0091	0	-3.1
8.244	0.0105	-0.0008	-0.006	-0.0023	-3.3
8.245	0.0142	0.0015	-0.003	0.0022	-3.3
8.246	0.0202	0.0052	-0.0023	0.0052	-3.1
8.247	0.021	0.0082	-0.0015	0.0067	-3.1
8.248	0.0202	0.0082	0.0007	0.0127	-2.9
8.249	0.0195	0.0082	0.0015	0.0165	-3.2
8.25	0.0165	0.009	-0.003	0.0142	-2.9
8.251	0.0157	0.006	-0.006	0.0105	-3
8.252	0.0142	0.003	-0.0068	0.0127	-2.8
8.253	0.012	0	-0.0091	0.0202	-2.7
8.254	0.0082	-0.003	-0.0105	0.027	-2.9
8.255	0	-0.0068	-0.012	0.0165	-2.7
8.256	-0.0135	-0.0158	-0.0128	-0.0181	-2.7
8.257	-0.0203	-0.0218	-0.0143	-0.033	-2.5
8.258	-0.0203	-0.0173	-0.0173	-0.0278	-2.6
8.259	-0.0195	-0.012	-0.0181	-0.0323	-2.5
8.26	-0.0128	-0.0068	-0.0181	-0.0256	-2.4
8.261	-0.006	0.0007	-0.0165	-0.0263	-2.5
8.262	0.0022	0.0097	-0.0128	-0.0203	-2.4
8.263	0.009	0.018	-0.0105	0.0045	-2.2
8.264	0.021	0.0172	-0.0113	0.0157	-2.4
8.265	0.0382	0.012	-0.0128	0.0172	-2.2
8.266	0.0532	0.009	-0.0128	0.0135	-2.3
8.267	0.066	0.0015	-0.0091	0.0037	-2
8.268	0.0742	-0.0053	-0.0083	-0.0143	-2.3
8.269	0.0795	-0.0068	-0.006	-0.0218	-1.8
8.27	0.0832	-0.0023	0.0015	-0.0091	-1.9
8.271	0.0855	-0.0015	0.003	0.0022	-1.8
8.272	0.0892	-0.0008	0.0045	0.0127	-1.8
8.273	0.0877	-0.003	0.0082	0.012	-1.9
8.274	0.0802	-0.0083	0.009	0.0052	-1.6
8.275	0.0735	-0.0091	0.0082	0.0045	-1.8
8.276	0.0705	-0.0105	0.0075	-0.003	-1.6
8.277	0.0697	-0.0105	0.0097	-0.0091	-1.7
8.278	0.0652	-0.0091	0.0127	-0.0091	-1.5
8.279	0.0607	-0.0053	0.0105	-0.0091	-1.4
8.28	0.0532	-0.003	0.012	-0.0083	-1.6
